Subcluster_id,Q-score,No_of_motifs
1416,0.3189305617294101,6
1793,0.31883748422295144,4
1666,0.31835480247834624,7
1358,0.31786809293044554,7
556,0.3173303727294251,6
304,0.3169366530540483,3
1465,0.3163388797502503,6
103,0.31617798392393315,4
977,0.31608667295229603,6
1732,0.3158860276033032,4
329,0.31541523660520343,6
2239,0.3152770333969364,5
1044,0.3152646031909474,9
2180,0.31437968295784025,3
559,0.3141214668531306,8
756,0.313583958792576,6
2345,0.3126868674109762,10
479,0.31255733948175907,4
1751,0.3124251478111116,4
393,0.3123074580903441,4
896,0.31010275223831824,6
2122,0.3097082686675295,4
45,0.3096694274149973,5
823,0.3095383498959416,3
2155,0.3093040671011884,4
613,0.30916332062645374,4
1606,0.3091179856925679,5
11,0.30879911485635014,5
1343,0.3084388529203801,10
2310,0.30840650113548884,3
6,0.3078910996847866,7
841,0.3078518420030982,8
1291,0.3076740701538973,5
1327,0.30763985016488715,5
519,0.3074883778290441,5
1632,0.30721882405391,5
2280,0.30637850458041377,9
1567,0.30616647605071473,4
207,0.3060419801358325,5
1188,0.30567530959586475,9
2083,0.3056618600837674,4
1910,0.30514607767655777,7
1335,0.3047963370305715,4
1052,0.3044331669497506,6
1747,0.3041813780940938,8
847,0.30325969995211843,5
1470,0.3030244631187922,3
710,0.30268351389576703,5
246,0.30252605129609417,4
650,0.3021224891074827,11
912,0.301367044889255,6
2379,0.3012270653917065,6
1655,0.3010592508955822,7
203,0.30089263924401016,7
1255,0.299639744576081,4
1244,0.29882224216647707,5
1282,0.2985289793546289,8
771,0.2981593783192203,3
1207,0.29785440698123483,5
1130,0.29752437697338474,9
1181,0.29707878403934534,4
1239,0.29668228639215555,5
477,0.29665308368790116,9
1226,0.29649472059709064,9
2370,0.29614728155688375,3
1920,0.29586027646609214,3
1004,0.29535598043340844,8
1532,0.2945540657028569,3
1817,0.2944192713095516,8
814,0.2940984469209781,6
1626,0.29393764207701484,6
2054,0.2931872540130963,3
1449,0.2928319237675277,3
2007,0.29281725258547814,3
1865,0.2927962771248859,5
1880,0.2926440992031191,4
1269,0.2925572467347992,4
722,0.2922544048703908,8
2298,0.292239264938947,5
1067,0.2918738160472746,5
2192,0.2918530907750833,5
454,0.29170466020917984,3
2096,0.2916935276449894,3
1104,0.2916357876228076,4
2145,0.291286873467846,4
717,0.29103533065977777,7
1216,0.2909967125537444,3
1698,0.2908488372303159,3
2181,0.2905206175281393,7
123,0.2900996562485382,7
2230,0.289908698454219,9
1782,0.28979689822246996,4
